Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
femininity,,,,,,,,E - 600 x 760,,Canvas,,White,GI-914375016-E-C-W,4600,shopify,0,continue,manual,693,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,E - 600 x 760,,Canvas,,Black,GI-914375016-E-C-B,4600,shopify,0,continue,manual,693,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,E - 600 x 760,,Canvas,,Scandi,GI-914375016-E-C-S,4600,shopify,0,continue,manual,693,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,F - 760 x 1000,,Matt Photographic Paper,,None,GI-914375016-F-M-N,1500,shopify,0,continue,manual,255,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,F - 760 x 1000,,Matt Photographic Paper,,White,GI-914375016-F-M-W,4600,shopify,0,continue,manual,647,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,F - 760 x 1000,,Matt Photographic Paper,,Black,GI-914375016-F-M-B,4600,shopify,0,continue,manual,647,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,F - 760 x 1000,,Matt Photographic Paper,,Scandi,GI-914375016-F-M-S,4600,shopify,0,continue,manual,647,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,F - 760 x 1000,,Canvas,,None,GI-914375016-F-C-N,1500,shopify,0,continue,manual,255,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,F - 760 x 1000,,Canvas,,White,GI-914375016-F-C-W,4600,shopify,0,continue,manual,832,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,F - 760 x 1000,,Canvas,,Black,GI-914375016-F-C-B,4600,shopify,0,continue,manual,832,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
